""Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"4717","9015419","104815305","MICHAEL GARRON HOSPITAL","Institutional Food Services","825 COXWELL AVE","43.68983","-79.32495","Pass","3","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2021-03-12","M - Minor","Notice to Comply","",""
"4718","10522415","104903641","MICHEL'S BAGUETTE","Food Court Vendor","199 BAY ST","43.64837","-79.37993","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-11-03","M - Minor","Notice to Comply","",""
"4719","10656015","104913509","MICHI SUSHI","Restaurant","126 WILLOWDALE AVE","43.7651","-79.40047","Pass","3","FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C)","2021-11-26","S - Significant","Corrected During Inspection","",""
"4720","10656015","104913509","MICHI SUSHI","Restaurant","126 WILLOWDALE AVE","43.7651","-79.40047","Pass","3","Operate food premise - equipment not constructed to permit cleaning - Sec. 9","2021-11-26","M - Minor","Notice to Comply","",""
"4721","10693881","104866354","MICK & BEAN LATIN BAR & LOUNGE","Restaurant","1635 LAWRENCE AVE W","43.70463","-79.49224","Pass","2","","2021-07-28","","","",""
"4722","9023251","104900103","MICK E. FYNN'S","Restaurant","45 CARLTON ST, Unit-1","43.66139","-79.38044","Pass","2","","2021-10-26","","","",""
"4723","10723627","104799221","MIDDLE 8","Restaurant","119 YORKVILLE AVE","43.67061","-79.39294","Pass","2","","2021-01-26","","","",""
"4724","10558310","104799934","MIDI BISTRO","Restaurant","168 MC CAUL ST","43.65566","-79.39222","Pass","3","FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22","2021-01-28","M - Minor","Notice to Comply","",""
"4725","10558310","104799934","MIDI BISTRO","Restaurant","168 MC CAUL ST","43.65566","-79.39222","Pass","3","Fail to Ensure the Presence of the Holder of a Valid Food Handlers Certificate - Sec. 545- 157E(1 7)(a)","2021-01-28","NA - Not Applicable","Notice to Comply","",""
"4726","9044903","104846241","MIDLAND CHILDCARE CENTRE","Child Care - Food Preparation","4220 MIDLAND AVE","43.82498","-79.2972","Pass","3","","2021-05-28","","","",""
"4727","10722506","104792684","MIDORI RAMEN","Restaurant","412 QUEEN ST W","43.64871","-79.39778","Pass","3","","2021-01-07","","","",""
"4728","10722506","104807300","MIDORI RAMEN","Restaurant","412 QUEEN ST W","43.64871","-79.39778","Pass","3","","2021-02-19","","","",""
"4729","10731547","104846025","MIKA'S KITCHEN INC.","Commissary","5000 YONGE ST","43.76603","-79.41245","Pass","2","","2021-06-02","","","",""
"4730","10188196","104806837","MIKE & MATT'S WINGPORIUM SPORTSBAR","Restaurant","1000 ISLINGTON AVE, Unit-2","43.63","-79.5183","Pass","2","","2021-06-16","","","",""
"4731","10583117","104812221","MIKE'S FISH MARKET","Fish Shop","1539 AVENUE RD","43.72318","-79.4157","Pass","2","","2021-03-04","","","",""
"4732","10743954","104911969","MIKEY'S SMASH BURGERS","Food Court Vendor","65 FRONT ST W","43.64528","-79.38049","Pass","2","","2021-11-23","","","",""
"4733","10250210","104796810","MILAGRO RESTAURANT AND CANTINA","Restaurant","50 JOHN ST","43.64562","-79.3895","Pass","2","","2021-01-19","","","",""
"4734","10491722","104795760","MILESTONES STC","Restaurant","300 BOROUGH DR","43.77629","-79.25802","Pass","2","","2021-01-15","","","",""
