unified_est_id,est_name,address,source
10832594.0,ANI BAKERY,25 Howden Rd Unit-2 M1R 3C8,auto_classified
10815480.0,ANIMA ROMANA ITALIAN BAKERY,149 Main St None M4E 2V9,auto_classified
10777098.0,ANNALUXMY CAFE,735 Middlefield Rd Unit-3 M1V 3S2,auto_classified
10824816.0,ANOTHER LAND COFFEE AND MORE,4708 Yonge St None M2N 5M4,auto_classified
10863030.0,AO SUSHI,5359 Yonge St None M2N 5R6,auto_classified
10846035.0,APOTEX CAFE,4100 Weston Rd None M9L 2Y6,auto_classified
10860090.0,APOTEX ETOBICOKE CAFETERIA,"50 STEINWAY BLVD, Flr-3 None M9W 6Y3",auto_classified
10789742.0,ARAGOZ EGYPTIAN KITCHEN,3456 Kingston Rd None M1M 1R5,auto_classified
10803186.0,ARBEQUINA RESTAURANT,325 RONCESVALLES AVE None M6R 2M6,auto_classified
10810024.0,ARIAM CAFE,1242 Danforth Ave None M4J 1M6,auto_classified
10831221.0,ARMONIA PASTA BAR,1316 QUEEN ST W None M6K 1L4,auto_classified
10800216.0,AROMA BAKERY,19 Milliken Blvd Unit-22-C1 M1V 4A2,auto_classified
10773822.0,AROMA ESPRESSO BAR,161 Fort York Blvd None M5V 0P2,auto_classified
10814779.0,AROMA ESPRESSO BAR,120 Lynn Williams St None M6K 3N6,auto_classified
10828272.0,AROMA ESPRESSO BAR,2040 Avenue Rd None M5M 4A6,auto_classified
10790341.0,AROMA INDIAN BISTRO,349 Marlee Ave None M6B 3H9,auto_classified
10852216.0,ARTEMIS CAFE AND EATERY,3180 Lake Shore Blvd W Unit-1 M8V 1L7,auto_classified
10789090.0,ARTO CAFE,1115 O'Connor Dr None M4B 2T5,auto_classified
10854765.0,ARTS & CRAFTS WINE BAR - ACH 02 - CNE 2025,180 PRINCES BLVD None M6K 3C3,auto_classified
10826459.0,ASIAN DRAGON BUFFET,2900 Warden Ave None M1W 2S8,auto_classified
10779121.0,ASMERA BAR AND RESTAURANT,1236 Danforth Ave None M4J 1M6,auto_classified
10775613.0,ASSEMBLY CHEF'S HALL - APHRODITE'S TAVERNA,111 Richmond St W None M5H 2G4,auto_classified
10813678.0,ASSEMBLY CHEF'S HALL - RAMEN TAKAO,111 Richmond St W None M5H 2G4,auto_classified
10787698.0,ASTORIA GREAT HALL RESTAURANT,"1087 QUEEN ST W, Flr-1 None M6J 1H3",auto_classified
10784408.0,ATHLETES KITCHEN,74 Jutland Rd Bldg-31 M8Z 2H1,auto_classified
10846993.0,ATOMIC BURGER,245 Greenwood Ave None M4L 2R4,auto_classified
10828379.0,AUGUSTA COFFEE BAR,229 Augusta Ave None M5T 2L4,auto_classified
10863337.0,AUNG SUSHI,700 Lawrence Ave W None M6A 3B4,auto_classified
10827357.0,AUNT KUI RICE NOODLE,4465 Sheppard Ave E Bldg-43 M1S 5H9,auto_classified
10848110.0,AURA DESSERT CAFE,860 EGLINTON AVE W None M6C 2B6,auto_classified
10831357.0,AVENUE CAFE + BISTRO,155 Dundas St E Unit-3 M5B 1E4,auto_classified
10826914.0,B-TOWN PIZZA,"13 ELM ST, Bldg-1 None M5G 1H1",auto_classified
10808113.0,BABEL HUMMUS BAR,220 Yonge St None M5B 2H1,auto_classified
10828785.0,BAD EGG AND JUICE TO GO,2214 QUEEN ST E None M4E 1E9,auto_classified
10782487.0,BADIALI PIZZERIA,325 Weston Rd Bldg-4B M6N 4Z9,auto_classified
10858125.0,BAGELS ON FIRE CAFE,85 Hanna Ave None M6K 3S3,auto_classified
10774697.0,BAKE CODE,451 Mcnicoll Ave None M2H 2C9,auto_classified
10823074.0,BAKE MY DAY TORONTO,235 Carlaw Ave None M4M 2S1,auto_classified
10863317.0,BAKE WITH POOKIE,36 Howard Park Ave Unit-149C M6R 0A5,auto_classified
10855342.0,BAKED BY BEAN,"1238 QUEEN ST E, Unit-G None M4L 1C3",auto_classified
10784600.0,BAKER DUCK,1571 Sandhurst Crcl Unit-428 M1V 1V2,auto_classified
10805764.0,BAKER'S FIESTA INC,133 Manville Rd Unit-17 M1L 4J7,auto_classified
10851248.0,BAKER'S FIESTA INC,"133 MANVILLE RD, Unit-18 None M1L 4J7",auto_classified
10853340.0,BAKERBOTS BAKING,1242 BLOOR ST W None M6H 1N5,auto_classified
10776269.0,BAKERY GARDEN CAFE,504 St Clair Ave W None None,auto_classified
10855351.0,BAKERY GATEAU,1170 Sheppard Ave W Unit-13 M3K 2A3,auto_classified
10772247.0,BAKERY POMPETTE,655 College St None M6G 1B7,auto_classified
10824294.0,BAKEZY COOKIE,36 BEAVER VALLEY RD None M3H 4S1,auto_classified
10840279.0,BALI COFFEE SHOP,2209 Kingston Rd None M1N 1T7,auto_classified
10804870.0,BALKANSTYLE TURKISH BAKERY,2377 Finch Ave W None M9M 2W8,auto_classified
10825965.0,BANBAN KOREAN FRIED CHICKEN,2549 Warden Ave None M1W 2H5,auto_classified
10822115.0,BANCAN KITCHEN,804 Eglinton Ave E None M4G 2L1,auto_classified
10820962.0,BANDSHELL BAR - BANDSHELL PARK - CNE 2025,100 PRINCES BLVD None M6K 3C3,auto_classified
10843953.0,BANH MI KHONG BAGUETTTE AND BUBBLE TEA,12 Jane St None M6S 3Y2,auto_classified
10861294.0,BANH MI PHO AN,3833 Midland Ave None M1V 5L6,auto_classified
10815180.0,BAR 24,1532 DUNDAS ST W None M6K 1T5,auto_classified
10785929.0,BAR 404,322 King St W None M5V 1J2,auto_classified
10805695.0,BAR ARDO,169 King St E None M5A 1J4,auto_classified
10778186.0,BAR BANANE,227 Ossington Ave Flr-2 M6J 2Z8,auto_classified
10814573.0,BAR BURRITO,860 York Mills Rd Unit-3 M3B 1Y4,auto_classified
10859978.0,BAR EUGENIE,89 Harbord St None M5S 1G4,auto_classified
10821580.0,BAR EX CNE 2025,111 PRINCES BLVD None M6K 3C3,auto_classified
10797768.0,BAR GOA,36 Toronto St Unit-102G M5C 2C5,auto_classified
10843046.0,BAR MINI,1118 Queen St E None M4M 1K8,auto_classified
10808455.0,BAR NIRO,1334 DUNDAS ST W None M6J 1Y2,auto_classified
10793795.0,BAR PRIMA,1136 Queen St W None M6J 1J3,auto_classified
10824293.0,BAR ROMA,229 Ossington Ave None M6J 2Z8,auto_classified
10829988.0,BAR SUGO,1279 Bloor St W None M6H 1N7,auto_classified
10776372.0,BAR WELLINGTON,520 Wellington St W None M5V 1E3,auto_classified
10829209.0,BAR ZUNKO,675 YONGE ST None M4Y 2B2,auto_classified
10852371.0,BASIL PHO HOUSE,5651 Steeles Ave E Unit-27 M1V 5P6,auto_classified
10825513.0,BATHURST 6IXTY WINGS,410 Bathurst St None M5T 2S6,auto_classified
10799165.0,BB.Q CHICKEN,49 East Liberty St Unit-3 M6K 0A7,auto_classified
10799871.0,BB.Q CHICKEN,"4915 STEELES AVE E, Unit-8 None M1V 4Z3",auto_classified
10823333.0,BB.Q CHICKEN,652 Spadina Ave None M5S 2H7,auto_classified
10825503.0,BB.Q CHICKEN,38 Forest Manor Rd Unit-B None,auto_classified
10798784.0,BB.Q CHICKEN & PUB,5906 Yonge St None M2M 3T3,auto_classified
10855995.0,BBC INDIAN FOOD RESTAURANT,23 Westmore Dr Unit-7B M9V 3Y7,auto_classified
10775790.0,BBQ @ BLOOR,914 Bloor St W None M6H 1L1,auto_classified
10842643.0,BBQ FIRE AND SLICE,2859 ST CLAIR AVE E None M4B 1N4,auto_classified
10817785.0,BBQ PITSTOP,"40 CARL HALL RD, Lot-OUTDOORS None M3K 2C1",auto_classified
10830448.0,BD FUSION RESTAURANT,3478 Danforth Ave None M1L 1E1,auto_classified
10797880.0,BEAR STEAK SANDWICHES,550 College St Unit-A M6G 1B1,auto_classified
10849341.0,BEAR STEAK SANDWICHES,486 Front St W None M5V 0V2,auto_classified
10807996.0,BEAUTY'S FRIED CHICKEN,220 Yonge St None M5B 2H1,auto_classified
10785200.0,BELLISSIMO PIZZERIA AND RISTORANTE,164 The Esplanade None M5A 4A5,auto_classified
10826526.0,BELLONA RESTAURANT AND BAR,680 College St None M6G 1C1,auto_classified
10841193.0,BENTO SUSHI,3671 Dundas St W None M6S 2T3,auto_classified
10772452.0,BENTO SUSHI,301 Moore Ave None M4G 1E1,auto_classified
10774513.0,BENTO SUSHI,1050 Don Mills Rd None M3C 1W6,auto_classified
10774514.0,BENTO SUSHI,85 Laird Dr None M4G 3T8,auto_classified
10792773.0,BENTO SUSHI,1265 MILITARY TRL None M1C 1A4,auto_classified
10801980.0,BENTO SUSHI,2549 Weston Rd None M9N 2A7,auto_classified
10808590.0,BENTO SUSHI,825 Don Mills Rd None M3C 1V4,auto_classified
10823983.0,BENTO SUSHI,205 Humber College Blvd None M9W 5L7,auto_classified
10835893.0,BENTO SUSHI,1750 FINCH AVE E None M2J 2X5,auto_classified
10843219.0,BENTO SUSHI,201 Lloyd Manor Rd None M9B 6H6,auto_classified
10844425.0,BENTO SUSHI,111 Peter St None M5V 2H1,auto_classified
10815554.0,BEREKET KEBAB HOUSE,245 Morningside Ave Unit-D2 M1E 3E6,auto_classified
10841581.0,BEREN RESTAURANT & CAFE,"1637 EGLINTON AVE W, Unit-A None M6E 2H1",auto_classified
10806495.0,BEST DIM SUM FOOD CO STOREFRONT,23 Milliken Blvd B10 M1V 5H7,auto_classified
10781593.0,BEST SHAWARMA TO.,1310 ST CLAIR AVE W None M6E 1C1,auto_classified
10811957.0,BETTER DAYS COFFE & DONUTS,963 Dovercourt Rd None M6H 2X6,auto_classified
10808694.0,BEVO ESPRESSO BAR,25 Fontenay Crt None M9A 4W7,auto_classified
10824115.0,BHC CHICKEN,486 Front St W None M5V 0V2,auto_classified
10822771.0,BICKFORD BREWING CO,292 Harbord St Unit-A M6G 1G6,auto_classified
10817420.0,BIFF'S BISTRO,33 Yonge St Unit-101 M5E 1G4,auto_classified
10815351.0,BIG BROTHERS GOURMET PIZZA,1736 Kingston Rd Bldg-1 M1N 1S9,auto_classified
10862184.0,BIG DADDY'S HALAL GRILL,45 Four Winds Dr Unit-C3 M3J 1K7,auto_classified
10809097.0,BIG FAT COOKIES,486 Front St W Unit-WM53 M5V 0V2,auto_classified
10781000.0,BIG GUY LAMB SOUP NOODLE HOUSE,4750 Yonge St Unit-140 M2N 5M6,auto_classified
10787599.0,BIG SLICE KITCHEN,4748 DUNDAS ST W None M9A 1A9,auto_classified
10811350.0,BIG TRIO WONTON NOODLE,2361 Brimley Rd Unit-D2 M1S 3L6,auto_classified
10838568.0,BIG WAY HOT POT,1571 Sandhurst Crcl Unit-105B M1V 1V2,auto_classified
10855128.0,BIG WAY HOT POT,559 Bloor St W None M5S 1Y6,auto_classified
10783346.0,BINGZ  CRISPY BURGER,3401 Dufferin St Unit-FC18 M6A 2T9,auto_classified
10783548.0,BINGZ CRISPY BURGER,1800 Sheppard Ave E Unit-1102 M2J 5A7,auto_classified
10813051.0,BINGZ CRISPY BURGER,220 Yonge St Unit-F0005 M5B 2H1,auto_classified
10853864.0,BINGZ CRISPY BURGER,65 Front St W Unit-CRU430B M5J 1E6,auto_classified
10853306.0,BIRDBITE COFFEE,1420 Dundas St W None M6J 1Y5,auto_classified
10842893.0,BIRDS & BEANS CAFE,160 Marine Parade Dr None M8V 0J3,auto_classified
10819475.0,BIRYANI BAR,4053 SHEPPARD AVE E None M1S 1S8,auto_classified
10828450.0,BIRYANI GUYS (Crave Food Hub - K2),"1275 MORNINGSIDE AVE, Unit-7 None M1B 3W1",auto_classified
10791376.0,BIRYANI NATION,1960 Lawrence Ave E Unit-18B M1R 2Z1,auto_classified
10839823.0,BIRYANI SPOT,7 Progress Ave Unit-3 M1P 5A3,auto_classified
10782398.0,BIRYANI VENUE,16 Mallard Rd None M3B 0A7,auto_classified
10799849.0,BIRYANIS AND MORE,2579 Victoria Park Ave None M1T 1A4,auto_classified
10823072.0,BIRYANIS N SHAKES,"1410 VICTORIA PARK AVE, Unit-4 None M4A 2L8",auto_classified
10780052.0,BITE MY WINGS,1051 Midland Ave None M1K 4G7,auto_classified
9091404.0,BITONDO'S PIZZERIA,11 Clinton St None M6J 2N7,auto_classified
10779845.0,BLACK DOG PUB,87 Island Rd None M1C 2P6,auto_classified
10850787.0,BLAZE BURGER,208 Queens Quay  W Bldg-4 M5J 2Y5,auto_classified
10857670.0,BLESSING IN DISGUISE BISTRO & BAR,150 John St None M5V 3E3,auto_classified
10820360.0,BLONDIES PIZZA,160 Marine Parade Dr Unit-8 M8V 0J3,auto_classified
10826247.0,BLONDIES PIZZA,280 EGLINTON AVE W None M4R 1B2,auto_classified
10829770.0,BLONDIES PIZZA,65 Front St W None M5J 1E6,auto_classified
10780771.0,BLOOM BAR STUDIO,780 ST CLAIR AVE W None M6C 1B6,auto_classified
10778550.0,BLOOM DESSERTS,203 College St Unit-203 M5T 1P9,auto_classified
10831915.0,BLOOMING GARDEN DESSERT HOUSE,2900 Warden Ave Unit-245 M1W 2S8,auto_classified
10798307.0,BLUE COLLAR BAKERY,1230 Bloor St W None M6H 1N3,auto_classified
10856820.0,BLUE ELEPHANT CUISINE,516 Danforth Rd None M1K 1C6,auto_classified
10803113.0,BLUE PHOENIX,2478 KINGSTON RD None M1N 1V3,auto_classified
10854327.0,BLUET BAKERY,245 GERRARD ST E None M5A 2G1,auto_classified
10776281.0,BLUFFERS RESTAURANT BAR & GRILLE,7 Brimley Rd S None M1M 3W3,auto_classified
10814637.0,BMO CONFERENCING KITCHEN,33 Dundas St W Flr-6 None,auto_classified
10859172.0,BOBO TEA AND JUICE,3313 Lake Shore Blvd W None M8W 1M8,auto_classified
10780784.0,BOCADOS BAKE SHOP,923 Queen St W Unit-B M6J 1G5,auto_classified
10808849.0,BOCCONE DELI & PIZZA BAR,1384 Yonge St None M4T 1Y5,auto_classified
10813472.0,BODEGA BURGERS,335 Yonge St Unit-- M5B 1R7,auto_classified
10832708.0,BOM DIA CAFE & BAKERY,389 Danforth Ave None M4K 1P1,auto_classified
10777105.0,BONJOUR BRIOCHE BAKERY CAFE,812 Queen St E None M4M 1H7,auto_classified
10384083.0,BOOSTER JUICE,4700 KEELE ST None M3J 1P3,auto_classified
10778131.0,BOOSTER JUICE,35 Bathurst St None M5V 2P2,auto_classified
10795665.0,BOOSTER JUICE,1 Island Airport None M5V 1A1,auto_classified
10799205.0,BOOSTER JUICE,1390 Neilson Rd Unit-B2 M1B 0C2,auto_classified
10801883.0,BOOSTER JUICE,55 Avenue Rd Unit-F9 M5R 3L2,auto_classified
10802127.0,BOOSTER JUICE,120 Adelaide St W None M5H 1T1,auto_classified
10803907.0,BOOSTER JUICE,4700 KEELE ST None M3J 1P3,auto_classified
10804589.0,BOOSTER JUICE,20 Bay St None M5J 2N8,auto_classified
10806741.0,BOOSTER JUICE,145 Silver Reign Dr None M9W 0G5,auto_classified
10818655.0,BOOSTER JUICE,651 Spadina Ave Unit-120 M5S 2H6,auto_classified
10825812.0,BOOSTER JUICE,808 York Mills Rd Unit-34A M3B 1X8,auto_classified
10826204.0,BOOSTER JUICE,200 Bay St Unit-134 M5J 2H0,auto_classified
10830228.0,BOOSTER JUICE,2296 Bloor St W None M6S 1P2,auto_classified
10832839.0,BOOSTER JUICE,12 Richardson St Unit-7 M5A 4J9,auto_classified
10836178.0,BOOSTER JUICE,4915 Bathurst St None M2R 1X9,auto_classified
10836252.0,BOOSTER JUICE,1381 Danforth Ave None M4J 1N2,auto_classified
10837794.0,BOOSTER JUICE,460 Renforth Dr 13 M9C 2N2,auto_classified
10840939.0,BOOSTER JUICE,1800 Sheppard Ave E Unit-2015C M2J 5A7,auto_classified
10848883.0,BOOSTER JUICE,85 Laird Dr None M4G 3T8,auto_classified
10859625.0,BOOSTER JUICE,3401 Dufferin St Unit-KIOSK 1 M6A 2T9,auto_classified
10861362.0,BOOSTER JUICE,2081 Steeles Ave W Unit-G3 M3J 3N3,auto_classified
10814429.0,BOSSANOVA WINE AND BEER - THE BAR,101 RONCESVALLES AVE None M6R 2K9,auto_classified
10830488.0,BOSTON PIZZA,1602 The Queensway Bldg-F M8Z 1V1,auto_classified
10839048.0,BOSTON PIZZA,25 CINEMART DR None M1B 6H6,auto_classified
10845575.0,BOTTOMS UP KITCHEN,3371 LAKE SHORE BLVD W None M8W 1N1,auto_classified
10803553.0,BOURBON ST GRILL,900 Dufferin St Unit-114 M6H 4A9,auto_classified
10848507.0,BOURBON ST. GRILL,2300 Yonge St None M4P 1E4,auto_classified
10859034.0,BOURBON ST. GRILL,4841 Yonge St Unit-202 M2N 5X2,auto_classified
10775973.0,BOURBON STREET GRILL,500 Rexdale Blvd Unit-L005 M9W 6K5,auto_classified
10830101.0,BOUTIQUE BAR,553 Church St None M4Y 2E2,auto_classified
10832083.0,BRANDOR COFFEE,100 University Ave None M5J 1V6,auto_classified
10780699.0,BRETON BISTRO & LOUNGE,4650 Eglinton Ave W None None,auto_classified
10839962.0,BRICK & BUTTER BAKEHOUSE,"28 FINCH AVE W, Unit-116 None M2N 2G7",auto_classified
