unified_est_id,est_name,address,classification
10839300.0,A & W,3300 Bloor St W None M8X 2X3,ambiguous
10856759.0,AFC ZENSHI SUSHI,3300 Bloor St W None M8X 2X3,likely_restaurant
10841421.0,A & W,2625 Yonge St Unit-A M4P 2J6,ambiguous
10829321.0,A & W RESTAURANT,3155 Markham Rd Unit-D1 M1X 0B5,likely_restaurant
10785570.0,A BBQ HOUSE,664 Yonge St None M4Y 2A6,likely_restaurant
10774701.0,A CORNER CAFE AND RESTAURANT,5193 Yonge St None M2N 5P7,likely_restaurant
10804594.0,A COTE SORREL WINE BAR,1156 YONGE ST None M4W 2L9,likely_restaurant
10827312.0,A PIZZA,252 Queen St W None M5V 1Z8,likely_restaurant
10809219.0,A PLACE TO PLAY NURSERY SCHOOL OF BLOOR WEST VILLAGE,680 Annette St None M6S 2C8,likely_not_restaurant
10835329.0,A WHALE OF A TIME,"4466 SHEPPARD AVE E, Flr-201 None M1S 1V2",ambiguous
10785012.0,A&W,2131 Lawrence Ave E Unit-1110 M1R 5G4,likely_restaurant
10837642.0,A-D CAFE,1147 DAVENPORT RD None M6H 2G4,likely_restaurant
10632367.0,A.C.S.A. Scarborough Drop-In,202 Markham Rd None M1J 3C2,ambiguous
10836402.0,A1 STONE POT,409 Spadina Ave None M5T 2G6,ambiguous
10862671.0,AAHA! TRULY SOUTH,250 Dundas St W None M5T 2Z5,ambiguous
10839282.0,AAHA..! TRULY SOUTH,1177 Brimley Rd Unit-1177 M1P 3G5,ambiguous
10805257.0,AAMARA,1224 St Clair Ave W None M6E 1B4,ambiguous
10813943.0,ABANICO DANCE & ENTERTAINMENT,"3473 LAKE SHORE BLVD W, Bsmt-A None M8W 1N5",ambiguous
10856589.0,ABBAS SMOKE & VARIETY,"2857 KINGSTON RD, Unit-1/2 None M1M 1N3",likely_not_restaurant
10828772.0,ABENI AFRICAN FOOD INC.,1304 WESTON RD None M6M 4R5,ambiguous
10800018.0,ABEY'S INDIAN CHINESE HAKKAH FUSION,118 John St None M5V 2E3,ambiguous
10824732.0,ABIONA CENTRE HUMEWOOD CAMPUS,40 Humewood Dr None M6C 2W4,ambiguous
10821176.0,ABOKICHI - ECC 2309 - CNE 2025,100 PRINCES BLVD None M6K 3C3,ambiguous
