est_name,address,unified_est_id,your_decision
DAVID ADJEY'S YORKIE BURRITO,55 MILL ST None M5A 3C4,10830353.0,
DELHI MOMOS,113 Bond St Bsmt-2 M5B 1Y2,10810857.0,
DELHIITES,717 1/2 Queen St E None M4M 1H1,10800099.0,
DELICIOUS TASTE,5415 Yonge St None M2N 5R6,10851256.0,
DESI FOOD JUNCTION,1051 Bloor St W None M6H 1M4,10853984.0,
DESI SPOT,"41 LEBOVIC AVE, Unit-A123 None None",10845844.0,
DEVON GOOD FOOD,2865 Jane St None M3N 2J5,10829790.0,
DHARMAYUG KATHIYAWADI FOOD,6923 Steeles Ave W Unit-4 M9W 6T6,10863609.0,
DHILLON'S KARAHI SPOT,1213 Bayview Ave None M4G 2Z8,10789302.0,
DIA,387 Bloor St E None M4W 1H7,10773002.0,
DIAMOND KABAB HOUSE,3238 Eglinton Ave E None M1J 2H6,10844553.0,
DICKSON BARBEQUE CENTRE,2958 BLOOR ST W None M8X 1B7,10789925.0,
DIRTY BIRRIAS,1610 QUEEN ST E None M4L 1G2,10816135.0,
DIVAS CREPE ON A STICK,1308 St Clair Ave W None M6E 1C1,10843534.0,
DOKKAEBI,1620 Bloor St W None M6P 1A7,10784681.0,
DOMINO'S,4207 Keele St Unit-3 M3J 3T8,10807081.0,
DOMINO'S,3245 Finch Ave E Unit-11 M1W 4C1,10829315.0,
DON DON IZAKAYA,130 Dundas St W Flr-2 M5G 1C3,10800370.0,
DONER PALACE,1322 Gerrard St E B M4L 1Z1,10811314.0,
DORAJI,486 Front St W Unit-WM 38 M5V 0V2,10806856.0,
DOSE LOUNGE LTD,1334 DANFORTH AVE None M4J 1M9,10863643.0,
DUBAIMO CHOCOLATES,1020 St Clair Ave W None M6E 1A4,10849128.0,
EGGSMART,2947 Bloor St W Unit-A M8X 1B8,10809746.0,
EGGY'S WAFFLES,3276 Midland Ave Unit-C125 M1V 0C8,10840719.0,
EHWA UPTOWN,4866 Yonge St None M2N 5N2,10786395.0,
EL INKA,21 St Clair Ave E Unit-100 M4T 1L9,10816740.0,
EL PALOMAR EMPANADAS AND GELATO,1357 St Clair Ave W None M6E 1C5,10820907.0,
ELEVEN NINETY-TWO,1192 QUEEN ST W None M6J 1J6,10800200.0,
ELYSIAN LOUNGE,134 Millwick Dr Unit-C M9L 1Y6,10853644.0,
ENCHANTED POUTINERIE,45 Abraham Welsh Rd Unit-B7 M9M 0G6,10830663.0,
ESPRO,2102 QUEEN ST E None M4E 1E2,10847979.0,
EUROPA CAFFE,1168 THE QUEENSWAY None M8Z 1R5,10844703.0,
FAMOUS WOK,200 Front St W Unit-F004 M5V 3K2,10828117.0,
FANGIO TRATTORIA,1111 Queen St E None M4M 1K7,10860270.0,
FAROOJ ABO ALABAD,2064 Lawrence Ave E Unit-2064 M1R 2Z5,10858218.0,
FAST FRESH FOODS,200 Front St W None M5V 3K2,10860839.0,
FAT BASTARD BURRITO,2008 Queen St E None M4L 1J3,10854321.0,
FAT BASTARD BURRITO,930 Bloor St W None M6H 1L4,10845627.0,
FAT BASTARD BURRITO,31 Rexdale Blvd Unit-3107 M9W 1P1,10808178.0,
FAT BASTARD BURRITO,2561 Victoria Park Ave None M1T 1A4,10817175.0,
FAT BASTARD BURRITO,"5085 SHEPPARD AVE E, Unit-15 None M1S 4N8",10779387.0,
FAT BASTARD BURRITO,"96 GERRARD ST E, Unit-3 None M5B 1G7",10771385.0,
FAT BASTARD BURRITO,1222 St Clair Ave W None M6E 1B4,10805957.0,
FAT BASTARD BURRITO CO,2538 Weston Rd None M9N 2A6,10859289.0,
FAT BASTARD BURRITO CO.,808 York Mills Rd None M3B 1X8,10777163.0,
FAT BASTARD BURRITO CO.,126 Atlantic Ave None M6K 1X9,10805311.0,
FAT BASTARD BURRITO CO.,2400 Bloor St W None M6S 1P5,10828968.0,
FIFTYLAN,"4750 YONGE ST, Unit-105 None M2N 5M6",10817626.0,
FIFTYLAN,311 Queen St W None M5V 2A4,10859916.0,
FINE ARTISANAL WINES & FOOD,226 Christie St None M6G 3B7,10792895.0,
FISH & CHICKS & CHIPS,1310 ST CLAIR AVE W None M6E 1C1,10853583.0,
FITCAKE,3367 Bloor St W None M8X 1G2,10853804.0,
FIYU FOOD TRUCK,44 ST GEORGE ST None M5S 2E4,10794644.0,
FLORETTE,1168 Queen St W None M6J 1J5,10779364.0,
FLORIN TRATTORIA,80 Richmond St W None M5H 2A4,10844989.0,
FOOD FOR NOW,2445 Lake Shore Blvd W None M8V 1C5,10852675.0,
FOOD HALL,1 Bridgepoint Dr None M4M 2B5,10772899.0,
FOOD MANTRA,3583 Lake Shore Blvd W None M8W 1P5,10795724.0,
FOREST HILL FARMHOUSE,1130 Queen St E None M4M 1L1,10802163.0,
FOREST HILL FARMHOUSE,2066 Yonge St Unit-2 M4S 2A3,10773973.0,
FOREVER YOUNG FOOD FUN PARTY,6600 Yonge St None M2M 3X4,10853115.0,
FORTUNE-KING HOTPOT,359 Spadina Ave None M5T 2G3,10807524.0,
FREDDY'S GREEK,148 Sumach St None M5A 0P9,10807178.0,
FRESH BURRITO,1085 Kingston Rd Unit-9 M1N 4E3,10776021.0,
FRESH BURRITO,3575 Sheppard Ave E None M1T 3K8,10811885.0,
FRIDA'S MEXI-CAKES,1694 Eglinton Ave W None M6E 2H5,10858659.0,
FU-PANDA MAO CAI,428 Dundas St W None M5T 1G7,10863431.0,
FUSETTES,407A Yonge St None M5B 1S9,10852002.0,
FUSHUN STONE POT,482 Dundas St W None M5T 1G9,10862001.0,
FUTURA GRANITA AND GELATO,964 ST CLAIR AVE W None M6E 1A1,10613268.0,
French Toast,196 Augusta Ave None M5T 2L6,10859224.0,
G FOR GELATO,102 Crockford Blvd Unit-2 M1R 3C3,10832177.0,
GAIMA RICE BOWL,5317 Yonge St None M2N 5R4,10860122.0,
GALA CANADA CAFE & VARIETY,2083 Lawrence Ave W None M9N 1H7,10851247.0,
GAMTHI AUTHENTIC DESI FOOD,1555 O'Connor Dr None M4B 2V7,10862003.0,
GATEAU GHOST,974 College St None M6H 1A5,10810060.0,
GELATO ON THE DANNY,1980 DANFORTH AVE None M4C 1J6,10844965.0,
GEORGE THE GREEK,3575 Lake Shore Blvd W None M8W 1P5,9032401.0,
GHEE SYMPHONY,545 KEELE ST None M6N 3E4,10842653.0,
GIANNI'S GELATO,241 Queen St W None M5V 1Z4,10821895.0,
GIGLI CAFFE,399 Jane St None M6S 3Z6,10772858.0,
GIL'S FISH & CHIPPERIE,220 Yonge St None M5B 2H1,10807995.0,
GIMBAP SHOP,11 Spring Garden Ave None M2N 3G1,10815042.0,
GIRAGI,486 Front St W None M5V 0V2,10853978.0,
GOLDEN HORSESHOE BARBECUE,657 Dupont St None M6G 1Z4,10856747.0,
GONG CHA,1918 QUEEN ST E None M4L 1H5,10773676.0,
GOOD MORNING FRIENDS,5050 Dufferin St Unit-124 M3H 5T5,10793047.0,
GRAINATION,204 Spadina Ave Unit-BSMT M5T 2C2,10799446.0,
GRAND BARGAIN JUNCTION GARDENS,2938 DUNDAS ST W None M6P 1Y8,10841680.0,
GRANDMA LOVES YOU,40 St Clair Ave W Unit-101 M4V 1M2,10810566.0,
GRAPE WITCHES,497 Richmond St W Unit-R2 None,10830256.0,
GREEK FREAK,424 Wilson Ave None M3H 1S9,10821693.0,
GREEK MANSION,5651 Steeles Ave E Unit-10 M1V 5P6,10808961.0,
GREEK THEATRE (GUILD PARK AND GARDEN),201 GUILDWOOD PKWY None M1E 1P6,10852348.0,
GREELZ ON BLOOR,2100 Bloor St W Unit-5 M6S 5A5,10852005.0,
GREEN BOX EXPRESS,180 Queen St W Unit-101 M5V 1Z1,10832361.0,
GULLY,521 Bloor St W None M5S 1Y4,10775830.0,
GUSTO GELATO,2919 Dufferin St None M6B 3S7,10818794.0,
GYUKI,388 Queen St W Unit-388 M5V 2A6,10803450.0,
HABIBZ CORNER,578 Queen St W None M5V 2B5,10842611.0,
HABIBZ CORNER FUSION STREET FOOD,1806 Jane St None M9N 2T3,10802025.0,
HADRIEN PATISSERIE,709 The Queensway None M8Y 1L2,10809972.0,
HAKKA DYNASTY,2141 Kipling Ave Bldg-10A M9W 4K8,10860750.0,
HAKKA PALACE,62 Overlea Blvd Unit-8 M4H 1C4,10830672.0,
HAKKA PAVILION,31 Tapscott Rd Unit-T58A M1B 4Y7,10849496.0,
HAKKA RISE AND MOMO HUB,"4286 KINGSTON RD, Unit-5 None M1E 2M8",10793445.0,
HAKKA WOK HEI,371 Roncesvalles Ave None M6R 2M8,10813342.0,
HAKKALAND,4549 Kingston Rd Unit-A M1E 2P1,10811313.0,
HAKU IZAKAYA,168 Major St None M5S 2L3,10863749.0,
HALAL MEALS,103 Manville Rd None M1L 4H9,10805205.0,
HALIBUT HOUSE FISH & CHIPS,2814 Lake Shore Blvd W Unit-1 M8V 1H7,10819640.0,
HALIBUT HOUSE FISH AND CHIPS,2151 St Clair Ave W Unit-103 M6N 1K5,10803249.0,
HAMOV FINE FOOD,3350 DUFFERIN ST None M6A 3A4,10758001.0,
HAN BA TANG,4862 YONGE ST None M2N 5N2,10830120.0,
HAN KKI,1170 Queen St W None M6J 1J5,10841536.0,
HAPPY TANGLE,220 Yonge St None M5B 2H1,10807997.0,
HAVEN BREWS,222 Finch Ave W Unit-101-102 M2R 1M6,10813971.0,
HAZUKIDO,"1800 SHEPPARD AVE E, Unit-CRU 1096 None M2J 5A7",10806788.0,
HEART BROKEN CANTINA,1635 Lawrence Ave W Unit-8 M6L 3C9,10849686.0,
HEAVEN FINE FOODS,30 Baywood Rd Unit-12 M9V 3Z2,10845511.0,
HERO DUMPLING,437 YONGE ST None M5B 1T3,10857541.0,
HES LOUNGE,550 Queens Quay  W Unit-12 M5V 3M8,10801800.0,
HEYTEA TORONTO,505 Yonge St Unit-6 M4Y 1Y3,10836046.0,
HI BOWL,517 Yonge St Unit-2 M4Y 1Y3,10853823.0,
HIGH PARK ESPRESSO,2133 Bloor St W None M6S 1N2,10820097.0,
HIGHLAND MOMO,2267 Islington Ave None M9W 3W7,10850055.0,
HIMALAYANMOMO HOUSE,2655 YONGE ST None M4P 2J6,10813413.0,
HOMETOWN ROAD,66 Wellington St W Unit-0063C M5X 1H6,10808684.0,
HONEY CHINESE (PORTLAND SQUARE - 3rd FL.),600 King St W None M5V 1M3,10857880.0,
HOOKY'S FISH & CHIPS,486 Front St W Unit-WM M5V 0V2,10808555.0,
HOUSE OF MOSES,168 BALDWIN ST None M5T 1L8,10861944.0,
HOYRA,1566 Bloor St W None M6P 1A4,10814710.0,
HSU'S SEAFOOD,41-43 Baldwin St None M5T 1L1,10839677.0,
HUA HIN THAI FOOD,383 Jane St None M6S 3Z3,10854003.0,
HUY-KY,1046 Gerrard St E None M4M 1Z8,10799742.0,
HYDERABADI WRAPS,40 ST GEORGE ST None M5S 2E4,10787686.0,
